ALCA_ID,Suelo_carac_id,CLIMA_ID,Arboles
4,1000,1213,"20,50"
9,1000,1200,21
6,1000,1202,"22,61"
15,1004,1207,23
10,1005,1207,24
8,1000,1213,25
8,1004,1213,26
11,1005,1203,27
12,1009,1202,28
12,1001,1200,21
10,1001,1202,"30,40,43"
12,1009,1202,31
11,1005,1202,32
9,1000,1202,33
16,1004,1202,34
17,1009,1202,35
3,1003,1202,36
2,1004,1213,37
8,1005,1215,38
7,1002,1202,39
16,1001,1213,41
9,1005,1202,42
7,1003,1216,44
9,1000,1200,45
3,1004,1202,46
12,1001,1202,47
3,1001,1207,48
13,1000,1202,49
7,1001,1209,52
11,1001,1207,53
3,1005,1202,54
16,1002,1213,55
9,1000,1200,63
12,1001,1209,57
16,1010,1213,58
16,1005,1216,59
16,1000,1213,60
12,1002,1208,62
9,1001,1200,71
16,1001,1202,64
6,1000,1208,65
16,1010,1202,66
9,1000,1203,67
16,1001,1213,68
8,1001,1213,"69,70"
5,1000,1200,"29,51"
6,1000,1200,"29,51"
8,1000,1200,"29,51"
10,1000,1200,"29,51"
11,1000,1200,"29,51"
17,1000,1200,"29,51"
3,1004,1202,34
6,1001,1209,52
10,1001,1209,52
11,1001,1209,52
17,1001,1209,52
14,1005,1202,54
15,1005,1215,38
